22pF	2	"C4 C5"
100nF	7	"C1 C2 C3 C8 C9 C10 C12"
4,7uF	1	"C7"
10uF	2	"C6 C11"
LED	3	"D1 D6 D7"
BAT42W	1	"D2"
ATMEGA8-P	1	"IC1"
USB	1	"J1"
JUMPER	3	"JP1 JP2 JP3"
CONN_3	3	"K1 K2 K3"
INDUCTOR	1	"L1"
CONN_6	6	"P1 P2 P3 P4 P6 P8"
CONN_5	3	"P5 P7 P9"
CONN_2	1	"P10"
CONN_3X2	1	"P11"
1k	3	"R2 R10 R11"
4,7k	1	"R8"
10k	2	"R1 R9"
SW_PUSH	1	"SW1"
FT232RL	1	"U1"
LM1117	1	"U2"
CRYSTAL	1	"X1"
